ISBN,Name,Authors,Year,Publisher,Image
439095026,Tell Me This Isn't Happening ,Robynn Clairday ,1999,Scholastic ,http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg
689821166,Flood : Mississippi 1927 ,Kathleen Duey ,1998,Aladdin ,http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg
971880107,Wild Animus ,Rich Shapero ,2004,Too Far ,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg
345402871,Airframe ,Michael Crichton ,1997,Ballantine Books ,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg
345417623,Timeline ,MICHAEL CRICHTON ,2000,Ballantine Books ,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg
684823802,OUT OF THE SILENT PLANET ,C.S. Lewis ,1996,Scribner ,http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg
375759778,Prague : A Novel ,ARTHUR PHILLIPS ,2003,Random House Trade Paperbacks ,http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg
425163091,Chocolate Jesus ,Stephan Jaramillo ,1998,Berkley Publishing Group ,http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg
3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman. ,Eleanor Cooney ,2001,Goldmann ,http://images.amazon.com/images/P/3442353866.01.LZZZZZZZ.jpg
3442410665,Sturmzeit. Roman. ,Charlotte Link ,1991,Goldmann ,http://images.amazon.com/images/P/3442410665.01.LZZZZZZZ.jpg
3442446937,Tage der Unschuld. ,Richard North Patterson ,2000,Goldmann ,http://images.amazon.com/images/P/3442446937.01.LZZZZZZZ.jpg
375406328,Lying Awake ,Mark Salzman ,2000,Alfred A. Knopf ,http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg
446310786,To Kill a Mockingbird ,Harper Lee ,1988,"Little Brown &amp , Company ",http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg
449005615,Seabiscuit: An American Legend ,LAURA HILLENBRAND ,2002,Ballantine Books ,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg
60168013,Pigs in Heaven ,Barbara Kingsolver ,1993,Harpercollins ,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg
61099686,Downtown ,Anne Rivers Siddons ,1995,HarperTorch ,http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg
553582909,Icebound ,Dean R. Koontz ,2000,Bantam Books ,http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg
671888587,I'll Be Seeing You ,Mary Higgins Clark ,1994,Pocket ,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg
553582747,From the Corner of His Eye ,Dean Koontz ,2001,Bantam Books ,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg
425182908,Isle of Dogs ,Patricia Cornwell ,2002,Berkley Publishing Group ,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg
440223571,This Year It Will Be Different: And Other Stories ,Maeve Binchy ,1997,Dell ,http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg
812523873,Proxies ,Laura J. Mixon ,1999,Tor Books ,http://images.amazon.com/images/P/0812523873.01.LZZZZZZZ.jpg
842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1) ,Tim Lahaye ,2000,Tyndale House Publishers ,http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg
440225701,The Street Lawyer ,JOHN GRISHAM ,1999,Dell ,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg
60914068,"Love , Medicine and Miracles ",M.D. Bernie S. Siegel ,1988,HarperCollins Publishers ,http://images.amazon.com/images/P/0060914068.01.LZZZZZZZ.jpg
156047624,All the King's Men ,Robert Penn Warren ,1982,Harvest Books ,http://images.amazon.com/images/P/0156047624.01.LZZZZZZZ.jpg
245542957,Pacific Northwest ,Hans Johannes Hoefer ,1985,Chambers Harrap Publishers Ltd ,http://images.amazon.com/images/P/0245542957.01.LZZZZZZZ.jpg
380715899,A Soldier of the Great War ,Mark Helprin ,1992,Avon Books ,http://images.amazon.com/images/P/0380715899.01.LZZZZZZZ.jpg
553280333,Getting Well Again ,O. Carol Simonton Md ,1992,Bantam ,http://images.amazon.com/images/P/0553280333.01.LZZZZZZZ.jpg
961769947,Northwest Wines and Wineries ,Chuck Hill ,1993,Speed Graphics ,http://images.amazon.com/images/P/0961769947.01.LZZZZZZZ.jpg
964778319,An Atmosphere of Eternity: Stories of India ,David Iglehart ,2002,Sunflower Press ,http://images.amazon.com/images/P/0964778319.01.LZZZZZZZ.jpg
671623249,LONESOME DOVE ,Larry McMurtry ,1986,Pocket ,http://images.amazon.com/images/P/0671623249.01.LZZZZZZZ.jpg
679810307,Shabanu: Daughter of the Wind (Border Trilogy) ,SUZANNE FISHER STAPLES ,1991,Laurel Leaf ,http://images.amazon.com/images/P/0679810307.01.LZZZZZZZ.jpg
679865691,Haveli (Laurel Leaf Books) ,SUZANNE FISHER STAPLES ,1995,Laurel Leaf ,http://images.amazon.com/images/P/0679865691.01.LZZZZZZZ.jpg
2070423204,Lieux dits ,Michel Tournier ,2002,Gallimard ,http://images.amazon.com/images/P/2070423204.01.LZZZZZZZ.jpg
345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence ,Carl Sagan ,1978,Ballantine Books ,http://images.amazon.com/images/P/0345260317.01.LZZZZZZZ.jpg
394743741,The yawning heights ,Aleksandr Zinoviev ,1980,Random House ,http://images.amazon.com/images/P/0394743741.01.LZZZZZZZ.jpg
804106304,The Joy Luck Club ,Amy Tan ,1994,Prentice Hall (K-12) ,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg
1853262404,Heart of Darkness (Wordsworth Collection) ,Joseph Conrad ,1998,NTC/Contemporary Publishing Company ,http://images.amazon.com/images/P/1853262404.01.LZZZZZZZ.jpg
312970242,The Angel Is Near ,Deepak Chopra ,2000,St. Martin's Press ,http://images.amazon.com/images/P/0312970242.01.LZZZZZZZ.jpg
1853260053,Tess of the D'Urbervilles (Wordsworth Classics) ,Thomas Hardy ,1997,NTC/Contemporary Publishing Company ,http://images.amazon.com/images/P/1853260053.01.LZZZZZZZ.jpg
1414035004,The Adventures of Drew and Ellie: The Magical Dress ,Charles Noland ,2003,1stBooks Library ,http://images.amazon.com/images/P/1414035004.01.LZZZZZZZ.jpg
60938412,The Accidental Virgin ,Valerie Frankel ,2003,Avon Trade ,http://images.amazon.com/images/P/0060938412.01.LZZZZZZZ.jpg
140067477,The Tao of Pooh ,Benjamin Hoff ,1983,Penguin Books ,http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg
345465083,Seabiscuit ,LAURA HILLENBRAND ,2003,Ballantine Books ,http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg
451625889,The Prince ,Niccolo Machiavelli ,1952,Signet Book ,http://images.amazon.com/images/P/0451625889.01.LZZZZZZZ.jpg
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)) ,H. Jackson Brown ,1991,Thomas Nelson ,http://images.amazon.com/images/P/1558531025.01.LZZZZZZZ.jpg
441783589,Starship Troopers ,Robert A. Heinlein ,1987,Ace Books ,http://images.amazon.com/images/P/0441783589.01.LZZZZZZZ.jpg
394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy , Book 1) ",PHILIP PULLMAN ,1988,Laurel Leaf ,http://images.amazon.com/images/P/0394895894.01.LZZZZZZZ.jpg
1569871213,Black Beauty (Illustrated Classics) ,Anna Sewell ,1995,Landoll ,http://images.amazon.com/images/P/1569871213.01.LZZZZZZZ.jpg
375410538,Anil's Ghost ,MICHAEL ONDAATJE ,2000,Knopf ,http://images.amazon.com/images/P/0375410538.01.LZZZZZZZ.jpg
